User ID,Follower Count,Following Count,Account Active Since,Feedback
I163YK03O,"14,496",379,2020-08-08,"bro the ads in between reels are so annoying, kills the whole vibe"
5NF4ZW9XA,"31,803",220,2021-10-31,Started noticing I reach for my phone specifically to open IG even when there's no notification
53YKYYDU3,381,"1,710",2023-06-22,I tried the 30 min daily limit and blew past it every single day this week
Z5EHR07N8,"34,048","1,104",2019-05-26,the explore page is just rage bait and drama clips now. what happened to this app
L13VCG8D2,"1,759","1,709",2025-09-13,bro the algorithm just feeds me absolute garbage and I still can't look away
GKIKR2OMR,233,960,2020-02-21,Broadcast channels are a great addition. Love getting updates from creators.
9RTD6ENMB,126,"1,997",2016-10-21,The feed is so addictive that I forgot to eat lunch today. Not even exaggerating.
8N2R48TWQ,414,227,2025-08-24,My attention span is actually shot because of this app
G9ZQYAHUL,"10,044","1,739",2024-04-06,My husband literally hides my phone at night because of this app
L4ZKLOOKE,91,302,2025-04-24,there's a new ad format every month and each one is more annoying than the last
H4A3YJTU7,337,"1,805",2019-08-28,The fact that ads auto play with sound in stories is a hostile design choice
6V3JR1NJK,480,"1,878",2024-11-26,Can't help myself from opening the app but when I do it's just ads and brain rot content
JRPE2XN9T,"2,891","1,598",2020-01-13,Sponsored reels are ruining the experience. Just let me watch organic content.
CFZW0LDAL,132,"1,202",2022-02-25,The fact that you can't skip some ads feels like a punishment
NBHGFB2FL,76,537,2019-02-17,The short form content is rotting my brain I swear
SX0BJCKJC,"86,188","1,358",2022-10-14,I swear there are more ads than actual content from people I follow
3IEDD070E,287,"1,391",2023-01-17,The text size in captions got smaller and it's hard to read now
TGU8TL777,290,"1,392",2019-09-04,"The feed is a trap — you scroll because the algorithm hooks you, then ads ambush you every few posts"
62HDXC6RI,"17,039",461,2019-09-25,Reels are way too addictive. I keep watching even when I don't want to.
KZGGM0J36,"4,476","1,778",2020-11-14,The ad experience on Instagram is now worse than Facebook and that's saying something
2VFHD7WG1,389,"1,454",2018-06-07,The notes feature on DMs is a cool way to share quick thoughts with friends
9DXOQ8JXL,70,"1,688",2024-12-02,Addicted to the content loop but the advertising interruptions are getting more aggressive weekly
AW4OTUO4U,"2,504","1,554",2018-11-10,I appreciate how easy it is to share posts to stories. Smooth UX.
V4KFQ5DZ5,"2,826","1,653",2025-12-09,Instagram turned from a creative platform to a time-wasting machine
PV0V6443K,64,697,2019-11-08,UI feels cluttered with all the new shopping tabs and features nobody asked for
B3YYM33MG,162,"1,991",2022-07-09,Content discovery through the explore page is actually pretty good for my interests
Z4UR2YUPM,460,809,2022-07-14,Can't stop watching reels but every 4th one is an ad and it's getting old fast
11ZSB8LV6,100,884,2018-09-05,Cross posting to Facebook from Instagram is buggy and fails half the time
RXHW0IC1L,70,695,2017-01-09,Every third story is a sponsored post now. It's getting ridiculous.
CSG4OFDTR,"1,737","1,227",2019-03-31,90% of my feed is random reels from accounts I don't follow. Where did my friends go?
07Q2JBTZG,"3,158",159,2024-03-30,I've started unfollowing brands I actually like because their sponsored posts are too much
L0YQZDUBB,396,582,2017-03-02,I'd pay a monthly subscription to remove ads at this point honestly
EAXYLNFXJ,"3,045",671,2020-06-23,I came for photography but now it's just memes and clickbait videos
ZEH3RPRGY,399,769,2020-09-15,This is the only app where I feel genuinely creative sharing content
OV9WXHVY3,"7,650","1,661",2024-06-23,so the strategy is make reels addictive enough that people will sit through 10 ads an hour? cool
ZQPPOAU8P,"11,682","1,342",2025-03-29,Instagram live is my favorite way to interact with creators in real time
XFSHWZSJQ,5,444,2018-04-03,The ability to pin posts on your profile is a small but great feature
D3GO8JN42,"42,098",807,2017-12-30,The ads are so frequent they literally break my scroll rhythm
D0XQTQV8E,"19,099","1,154",2016-04-29,My biggest complaints: too addictive and too many ads. Basically they nailed being annoying AND irresistible.
7BTI1RIMV,"8,067","1,914",2021-05-22,The shopping feature is super convenient. Found some great small businesses through it.
8E9RIVH6T,"48,992","1,512",2018-12-16,Loading times have gotten worse since the last update. Everything feels slower.
JZTO7D835,141,444,2020-08-14,The number of ads has gotten completely out of hand. I can't scroll 3 posts without one.
R7GOKLVA2,"1,722","1,885",2025-09-08,The image quality on posts has improved a lot. Compression used to be awful.
QXIWE6RGL,"3,213",979,2022-11-25,Caught myself watching a reel about something I have zero interest in for 10 min straight
5QMKTGV44,258,"1,719",2020-03-10,Best app for keeping up with what my friends are doing. Nothing else compares.
PJA1WJ0TP,"13,587","1,887",2025-06-05,Cannot recover my old account even with proper ID verification. Support is useless.
F0TJ5JGZC,378,"1,727",2016-09-22,Basically an advertising platform with some social features attached at this point
7O75RH8LX,73,686,2025-09-04,The map search for discovering local spots is underrated. Love it.
6LH07BA7D,75,768,2017-04-01,Why does the app crash every time I try to go live? This has been broken for months.
B537QO4Z5,138,545,2024-07-05,The guides feature for organizing content is really underutilized but great
PGF7MVQ35,"51,506","2,000",2023-10-13,I find myself watching the most pointless content and can't stop. It's alarming.
VPYMB5M9J,"3,857","1,317",2023-02-04,The low quality content is drowning out actual creators who put in effort
E5C5JO5L0,340,758,2016-09-14,So addicted to scrolling but the ad frequency is driving me insane. Pick a struggle Instagram.
73NKBF2E6,598,705,2021-12-09,Love the close friends story feature. Great for sharing with a smaller group.
W5Q52DEZH,69,115,2021-12-02,The dopamine loop keeps me here but the ad bombardment is pushing me toward a breaking point
Z0XV6DDD2,332,189,2022-08-11,Low quality content loop + excessive advertising = worst combo. But I still can't close the app.
LKD4QJD7B,138,770,2016-06-10,The grid layout for profiles is iconic and I hope they never change it
YO6ILVB8D,"2,399",846,2020-11-20,My screen time is through the roof and at least a third of it is watching ads I didn't ask for
N04FDTZJ2,58,435,2016-01-18,I keep getting ads for products I already bought. Your targeting is broken.
QXPH1Y3BQ,"15,351","1,185",2021-12-16,The ad load on Instagram is worse than cable TV at this point and I'm not even joking
OYYKCZF2T,253,"1,818",2023-08-26,Getting ads in my notifications tab now? Really?
XSNHFT4I2,57,657,2022-08-24,Half the stuff on my feed is just AI generated garbage now
9SB5MBZGJ,154,"1,872",2016-06-24,I deleted the app three times this month and keep reinstalling it. That says something.
37IC0LZIG,83,947,2024-01-16,I've become dependent on this app for entertainment but the advertising is ruining it
SMWPQ82K8,383,"1,164",2020-05-26,Two factor authentication locked me out of my own account permanently
5JTV75SSU,428,"1,811",2016-12-07,Creators I follow are posting more sponsored content than genuine posts. Platform problem.
D0W9RY79K,277,"1,090",2024-09-08,The amount of sponsored content from influencers + platform ads is overwhelming
TP3174GU6,"3,703","1,260",2024-03-27,Not sure why I'm getting baby product ads when I'm 22 and single but ok
BPGYVYV2G,"2,213","1,451",2022-03-29,The new collaborative posts feature is great for working with other creators
K4SNV9RR4,"1,199","1,565",2017-12-27,Advertising on IG has become so intrusive it's pushing me toward less ad-heavy apps.
I8XQ6TCLK,28,"1,037",2022-10-06,This app has eaten my entire weekend. I opened it to check one thing and 4 hours disappeared.
ZUBLEKVL9,"3,559",123,2022-04-21,The music integration in stories and reels is seamless. Really well done.
RMF6M8WNL,163,"1,679",2023-06-15,I've started reflexively swiping past everything because so much is sponsored
IYM90PKR1,"14,562",704,2017-03-21,I discovered my favorite artist through Instagram explore. The algorithm worked perfectly.
KQTQ36ZPM,69,"1,437",2021-02-06,Really enjoy the photography community here. Great inspiration daily.
1BGMY4IQZ,484,"1,616",2023-08-02,Started setting a timer before opening IG because otherwise I lose hours
OULWOZQ48,"2,554",93,2019-11-06,The Reels feature is actually amazing for discovering new music and recipes
WUSXLMT2P,442,"1,268",2023-01-10,Every small business page I visit triggers a flood of similar ads for weeks
QM6UT6FIZ,811,"1,349",2018-01-25,The content is getting worse but somehow I'm spending MORE time on the app
TD9JYJ3CT,"28,942",370,2023-05-23,The comment filtering is too aggressive. Normal comments are being hidden.
YSX9OJWUD,86,549,2023-06-01,Ads between every 2 reels is not an acceptable user experience
JWK6Z0HR9,133,"1,502",2025-02-20,The pre-roll ads on IGTV/Reels are the worst feature ever added to this app
